"RowNumber","dayof-on","dayof-noton","daybef-on","daybef-noton","gender","HS","type-of-job","num-yrs-driving","cell-tel-exp","type-of-cell","Location"
"86","1","0","0","1","m","yes","nonprof","45","2-3","handsfree","lowspeed"
"87","1","0","0","1","f","yes","nonprof","11","1","handsfree","highspeed"
"88","0","1","0","1","m","yes","nonprof","21","1","handsfree","highspeed"
"89","0","1","1","0","m","yes","nonprof","18","2-3","handsfree","highspeed"
"90","1","0","0","1","m","yes","nonprof","22","1","handsfree","highspeed"
"91","0","1","0","1","m","no","nonprof","21","1","handsfree","highspeed"
"92","1","0","0","1","m","yes","nonprof","13","1","handsfree","highspeed"
"93","0","1","0","1","m","yes","nonprof","30",">6","handsfree","highspeed"
"94","0","1","0","1","m","no","nonprof","24","1","handheld","highspeed"
"95","0","1","0","1","m","yes","nonprof","20","2-3","handsfree","highspeed"
"96","1","0","0","1","f","yes","nonprof","36","1","handsfree","highspeed"
"97","0","1","0","1","m","yes","prof","7","2-3","handsfree","highspeed"
"98","0","1","0","1","f","yes","prof","18","1","handsfree","highspeed"
"99","1","0","0","1","m","yes","nonprof","18",">6","handsfree","highspeed"
"100","0","1","0","1","m","yes","prof","22","4-5","handsfree","highspeed"
"101","1","0","0","1","f","yes","nonprof","21","1","handsfree","highspeed"
"102","0","1","0","1","m","yes","prof","3","1","handsfree","highspeed"
"103","0","1","0","1","f","yes","nonprof","12","1","handsfree","highspeed"
"104","0","1","0","1","m","no","nonprof","36","4-5","handsfree","highspeed"
"105","0","1","0","1","m","yes","prof","20","2-3","handsfree","lowspeed"
"106","0","1","0","1","m","no","nonprof","4","1","handsfree","highspeed"
"107","1","0","0","1","m","yes","nonprof","7","1","handsfree","highspeed"
"108","1","0","0","1","m","no","prof","35","1","handsfree","highspeed"
"109","0","1","0","1","m","yes","prof","5","1","handsfree","highspeed"
"110","0","1","0","1","m","yes","nonprof","18","2-3","handsfree","highspeed"
"111","0","1","0","1","m","no","nonprof","25","2-3","handsfree","highspeed"
"112","1","0","0","1","m","yes","nonprof","14",">6","handsfree","highspeed"
"113","0","1","1","0","m","yes","nonprof","20",">6","handsfree","highspeed"
"114","0","1","0","1","m","yes","nonprof","10","1","handsfree","highspeed"
"115","1","0","0","1","m","yes","nonprof","3","2-3","handsfree","highspeed"
"116","0","1","0","1","m","no","nonprof","2","1","handsfree","highspeed"
"117","0","1","0","1","f","yes","nonprof","50",">6","handsfree","highspeed"
"118","0","1","0","1","m","no","nonprof","28",">6","handsfree","highspeed"
