rank,province,population
1,Ontario,"13,448,494"
2,Quebec,"8,164,361"
3,British Columbia,"4,648,055"
4,Alberta,"4,067,175"
5,Manitoba,"1,278,365"
6,Saskatchewan,"1,098,352"
7,Nova Scotia,"923,598"
8,New Brunswick,"747,101"
9,Newfoundland and Labrador,"519,716"
10,Prince Edward Island,"142,907"
11,Northwest Territories,"41,786"
12,Nunavut,"35,944"
13,Yukon,"35,874"
